year,month,count
2018,1,502051
2018,2,353496
2018,3,411427
2018,4,440936
2018,5,382891
2018,6,283832
2018,7,237101
2018,8,220714
2018,9,362337
2018,10,438241
2018,11,480668
2018,12,521047
2019,1,406100
2019,2,296093
2019,3,414422
2019,4,493898
2019,5,408381
2019,6,284065
2019,7,265761
2019,8,240736
2019,9,356105
2019,10,447300
2019,11,455031
2019,12,473157
2020,1,430222
2020,2,273283
2020,3,177267
2020,4,151862
2020,5,193768
2020,6,182861
2020,7,138154
2020,8,117607
2020,9,161642
2020,10,220176
2020,11,252621
2020,12,177833
2021,1,118679
2021,2,109838
2021,3,194181
2021,4,226618
2021,5,176444
2021,6,154418
2021,7,135408
2021,8,110081
2021,9,200950
2021,10,243210
2021,11,300187
2021,12,233056
2022,1,240522
2022,2,191699
2022,3,303102
2022,4,286297
2022,5,228539
2022,6,205876
2022,7,215577
2022,8,219771
2022,9,259863
2022,10,300318
